"","Year","SIMD.2012.2016.Quintile","Gender","Age.group","Scottish.applicants","Accepted.Scottish.applicants"
"1",2006,"Quintile 1","Men","17 and under",50,30
"2",2006,"Quintile 1","Men","18",570,420
"3",2006,"Quintile 1","Men","19",165,130
"4",2006,"Quintile 1","Men","20",140,105
"5",2006,"Quintile 1","Men","21-24",340,240
"6",2006,"Quintile 1","Men","25-29",180,130
"7",2006,"Quintile 1","Men","30-34",90,60
"8",2006,"Quintile 1","Men","35 and over",120,85
"9",2006,"Quintile 1","Women","17 and under",70,35
"11",2006,"Quintile 1","Women","18",905,605
"13",2006,"Quintile 1","Women","19",220,150
"15",2006,"Quintile 1","Women","20",200,140
"17",2006,"Quintile 1","Women","21-24",425,295
"19",2006,"Quintile 1","Women","25-29",255,175
"21",2006,"Quintile 1","Women","30-34",135,100
"23",2006,"Quintile 1","Women","35 and over",195,135
"25",2006,"Quintile 2","Men","17 and under",55,30
"27",2006,"Quintile 2","Men","18",905,695
"29",2006,"Quintile 2","Men","19",215,170
"31",2006,"Quintile 2","Men","20",195,160
"33",2006,"Quintile 2","Men","21-24",370,280
"35",2006,"Quintile 2","Men","25-29",180,125
"37",2006,"Quintile 2","Men","30-34",85,60
"39",2006,"Quintile 2","Men","35 and over",120,85
"41",2006,"Quintile 2","Women","17 and under",100,45
"43",2006,"Quintile 2","Women","18",1350,960
"45",2006,"Quintile 2","Women","19",340,230
"47",2006,"Quintile 2","Women","20",265,190
"49",2006,"Quintile 2","Women","21-24",480,350
"51",2006,"Quintile 2","Women","25-29",225,145
"53",2006,"Quintile 2","Women","30-34",130,95
"55",2006,"Quintile 2","Women","35 and over",195,135
"57",2006,"Quintile 3","Men","17 and under",105,70
"59",2006,"Quintile 3","Men","18",1420,1145
"61",2006,"Quintile 3","Men","19",345,265
"63",2006,"Quintile 3","Men","20",230,185
"65",2006,"Quintile 3","Men","21-24",385,300
"67",2006,"Quintile 3","Men","25-29",205,155
"69",2006,"Quintile 3","Men","30-34",75,50
"71",2006,"Quintile 3","Men","35 and over",115,75
"73",2006,"Quintile 3","Women","17 and under",155,105
"75",2006,"Quintile 3","Women","18",1825,1375
"77",2006,"Quintile 3","Women","19",445,325
"79",2006,"Quintile 3","Women","20",300,215
"81",2006,"Quintile 3","Women","21-24",495,320
"83",2006,"Quintile 3","Women","25-29",240,160
"85",2006,"Quintile 3","Women","30-34",115,70
"87",2006,"Quintile 3","Women","35 and over",210,155
"89",2006,"Quintile 4","Men","17 and under",130,80
"91",2006,"Quintile 4","Men","18",1945,1615
"93",2006,"Quintile 4","Men","19",475,385
"95",2006,"Quintile 4","Men","20",280,225
"97",2006,"Quintile 4","Men","21-24",415,315
"99",2006,"Quintile 4","Men","25-29",165,105
"101",2006,"Quintile 4","Men","30-34",75,50
"103",2006,"Quintile 4","Men","35 and over",95,55
"105",2006,"Quintile 4","Women","17 and under",175,105
"107",2006,"Quintile 4","Women","18",2425,1900
"109",2006,"Quintile 4","Women","19",575,445
"111",2006,"Quintile 4","Women","20",330,235
"113",2006,"Quintile 4","Women","21-24",485,315
"115",2006,"Quintile 4","Women","25-29",190,125
"117",2006,"Quintile 4","Women","30-34",110,70
"119",2006,"Quintile 4","Women","35 and over",250,175
"121",2006,"Quintile 5","Men","17 and under",175,115
"123",2006,"Quintile 5","Men","18",2995,2550
"125",2006,"Quintile 5","Men","19",615,510
"127",2006,"Quintile 5","Men","20",335,255
"129",2006,"Quintile 5","Men","21-24",610,470
"131",2006,"Quintile 5","Men","25-29",225,155
"133",2006,"Quintile 5","Men","30-34",80,60
"135",2006,"Quintile 5","Men","35 and over",145,110
"137",2006,"Quintile 5","Women","17 and under",265,175
"139",2006,"Quintile 5","Women","18",3375,2765
"141",2006,"Quintile 5","Women","19",695,545
"143",2006,"Quintile 5","Women","20",335,250
"145",2006,"Quintile 5","Women","21-24",600,400
"147",2006,"Quintile 5","Women","25-29",215,145
"149",2006,"Quintile 5","Women","30-34",100,65
"151",2006,"Quintile 5","Women","35 and over",275,195
"153",2006,"Unknown","Men","18",50,45
"155",2006,"Unknown","Men","19",20,20
"157",2006,"Unknown","Men","20",15,15
"159",2006,"Unknown","Men","21-24",45,40
"161",2006,"Unknown","Men","25-29",15,10
"163",2006,"Unknown","Men","30-34",5,5
"165",2006,"Unknown","Men","35 and over",5,5
"167",2006,"Unknown","Women","17 and under",15,15
"169",2006,"Unknown","Women","18",60,50
"171",2006,"Unknown","Women","19",15,15
"173",2006,"Unknown","Women","20",15,15
"175",2006,"Unknown","Women","21-24",30,25
"177",2006,"Unknown","Women","25-29",10,5
"179",2006,"Unknown","Women","30-34",10,5
"181",2006,"Unknown","Women","35 and over",15,10
"183",2007,"Quintile 1","Men","17 and under",50,35
"185",2007,"Quintile 1","Men","18",625,450
"187",2007,"Quintile 1","Men","19",170,135
"189",2007,"Quintile 1","Men","20",170,135
"191",2007,"Quintile 1","Men","21-24",360,265
"193",2007,"Quintile 1","Men","25-29",185,125
"195",2007,"Quintile 1","Men","30-34",95,65
"197",2007,"Quintile 1","Men","35 and over",145,100
"199",2007,"Quintile 1","Women","17 and under",75,40
"201",2007,"Quintile 1","Women","18",860,590
"203",2007,"Quintile 1","Women","19",250,155
"205",2007,"Quintile 1","Women","20",255,180
"207",2007,"Quintile 1","Women","21-24",455,315
"209",2007,"Quintile 1","Women","25-29",275,170
"211",2007,"Quintile 1","Women","30-34",130,90
"213",2007,"Quintile 1","Women","35 and over",205,140
"215",2007,"Quintile 2","Men","17 and under",65,45
"217",2007,"Quintile 2","Men","18",825,645
"219",2007,"Quintile 2","Men","19",255,200
"221",2007,"Quintile 2","Men","20",195,155
"223",2007,"Quintile 2","Men","21-24",410,315
"225",2007,"Quintile 2","Men","25-29",185,135
"227",2007,"Quintile 2","Men","30-34",90,70
"229",2007,"Quintile 2","Men","35 and over",145,95
"231",2007,"Quintile 2","Women","17 and under",90,55
"233",2007,"Quintile 2","Women","18",1245,950
"235",2007,"Quintile 2","Women","19",340,230
"237",2007,"Quintile 2","Women","20",275,205
"239",2007,"Quintile 2","Women","21-24",470,335
"241",2007,"Quintile 2","Women","25-29",245,170
"243",2007,"Quintile 2","Women","30-34",110,75
"245",2007,"Quintile 2","Women","35 and over",225,160
"247",2007,"Quintile 3","Men","17 and under",95,60
"249",2007,"Quintile 3","Men","18",1370,1120
"251",2007,"Quintile 3","Men","19",335,270
"253",2007,"Quintile 3","Men","20",220,165
"255",2007,"Quintile 3","Men","21-24",435,325
"257",2007,"Quintile 3","Men","25-29",205,150
"259",2007,"Quintile 3","Men","30-34",85,60
"261",2007,"Quintile 3","Men","35 and over",125,100
"263",2007,"Quintile 3","Women","17 and under",140,100
"265",2007,"Quintile 3","Women","18",1780,1350
